,datetime,sender,message,sentiment_score
10718,2020-03-05 08:37:00,Abhishek,😘,1
10720,2020-03-05 08:37:00,Amu Delhi,😘😘,1
10727,2020-03-05 10:43:00,Abhishek,Arey nice 😍,1
10728,2020-03-05 10:43:00,Amu Delhi,😘😘,1
10740,2020-03-05 20:46:00,Abhishek,😘,1
10824,2020-03-08 16:58:00,Abhishek,😘😘,1
10892,2020-03-18 21:21:00,Abhishek,😘,1
10911,2020-03-19 02:47:00,Abhishek,Abhi aau bubu,1
10913,2020-03-19 02:47:00,Abhishek,😘,1
10928,2020-03-19 19:23:00,Abhishek,Kya hua bubu,1
10929,2020-03-19 20:16:00,Amu Delhi,Bubu,1
10940,2020-03-24 16:52:00,Abhishek,😘,1
10952,2020-03-27 03:37:00,Abhishek,930 utha dena bubu,1
11012,2020-04-18 16:16:00,Amu Delhi,Jaldi aao... Misshhi ho raha hai,1
11015,2020-04-18 16:25:00,Amu Delhi,Bubu,1
11022,2020-04-30 12:22:00,Amu Delhi,😘😘😘😘😘😘,1
11034,2020-05-06 10:28:00,Abhishek,*Announcement* #Commissioner Gurugram has directed RWA's to provide information about all residents of the society.,1
11076,2020-06-04 21:12:00,Amu Delhi,😘😘😘,1
11077,2020-06-04 21:12:00,Amu Delhi,My mastikhor boy 😘😘😘,1
11104,2020-06-14 14:52:00,Amu Delhi,😘😘,1
11137,2020-06-21 19:29:00,Amu Delhi,Sorry ❤️,1
11152,2020-06-27 11:17:00,Amu Delhi,Jaldi aao bubu. Missing u,2
11180,2020-06-29 21:22:00,Abhishek,😘,1
11181,2020-06-29 21:22:00,Abhishek,😘,1
11182,2020-06-29 21:22:00,Abhishek,😘,1
11183,2020-06-29 21:22:00,Abhishek,😘,1
11184,2020-06-29 21:22:00,Abhishek,😘,1
11185,2020-06-29 21:22:00,Abhishek,😘😘,1
11186,2020-06-29 21:22:00,Abhishek,😘😘😘,1
11187,2020-06-29 21:23:00,Abhishek,😘😘😘😘,1
11188,2020-06-29 21:23:00,Abhishek,😘😘😘😘😘,1
11189,2020-06-29 21:23:00,Abhishek,😘😘😘😘,1
11190,2020-06-29 21:23:00,Abhishek,😘😘😘,1
11191,2020-06-29 21:23:00,Abhishek,😘😘,1
11192,2020-06-29 21:23:00,Abhishek,😘,1
11193,2020-06-29 21:23:00,Abhishek,😘,1
11258,2020-07-22 19:15:00,Amu Delhi,Missed voice call,1
11262,2020-07-23 22:33:00,Amu Delhi,😘😘,1
11286,2020-07-26 22:15:00,Amu Delhi,😘😘😘😘,1
11301,2020-08-02 18:11:00,Amu Delhi,😘,1
11302,2020-08-02 19:49:00,Amu Delhi,Dinner bubu?,1
11312,2020-08-04 21:06:00,Amu Delhi,😘,1
11326,2020-08-07 23:03:00,Amu Delhi,Khana khane aa jao bubu,1
11327,2020-08-08 13:28:00,Abhishek,Shiva ke saamne bubu sona mat bulao karo,1
11330,2020-08-08 14:30:00,Amu Delhi,😍😍,1
11394,2020-08-12 22:18:00,Amu Delhi,Bubu,1
11395,2020-08-12 22:18:00,Amu Delhi,Kal aana in that case 😘😘,1
11401,2020-08-13 11:19:00,Amu Delhi,Bubu,1
11408,2020-08-13 11:20:00,Amu Delhi,Be safe ❤️,1
11410,2020-08-13 11:21:00,Abhishek,😘😘,1
11423,2020-08-13 16:38:00,Abhishek,Aata hu bubu,1
11434,2020-08-14 19:54:00,Amu Delhi,Missed voice call,1
11439,2020-08-14 19:57:00,Amu Delhi,Call nai uthaya bubu ☹️,1
11451,2020-08-14 19:58:00,Amu Delhi,Will wait for u 😘😘,1
11460,2020-08-15 10:15:00,Amu Delhi,😘😘,1
11461,2020-08-15 10:15:00,Abhishek,😘,1
11464,2020-08-15 12:32:00,Amu Delhi,Missed voice call,1
11471,2020-08-16 12:07:00,Amu Delhi,My cutie 😘😘,2
11472,2020-08-16 12:07:00,Amu Delhi,❤️❤️,1
11527,2020-08-19 12:22:00,Amu Delhi,😘😘,1
11619,2020-08-25 21:45:00,Abhishek,😘,1
11621,2020-08-25 21:45:00,Abhishek,😘,1
11622,2020-08-25 21:45:00,Amu Delhi,😘😘,1
11631,2020-08-29 19:34:00,Amu Delhi,😘😘😘,1
11635,2020-08-29 21:30:00,Amu Delhi,😘😘😘😘,1
11636,2020-08-29 21:30:00,Amu Delhi,😘😘😘😘,1
11639,2020-08-30 18:05:00,Abhishek,Bubu,1
