,Timestamp,Activity,Activity Delay,Activity Type
52,2025-02-15 07:48:28,"[2025-02-15 07:48:28] bash,True,False,False,False,False,False,False,False,False,False,False",,Other
1645,2025-02-15 07:48:28,"[2025-02-15 07:48:28] bash,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2197,2025-02-15 12:43:06,"[2025-02-15 12:43:06] touch src/server.js,True,True,False,False,False,False,False,False,False,False,False",294.6333333333333,Other
2206,2025-02-15 12:43:06,"[2025-02-15 12:43:06] touch src/server.js,True,True,False,False,False,False,False,False,False,False,False",0.0,Other
2201,2025-02-15 14:41:20,"[2025-02-15 14:41:20] npm install nodemon express mongoose cors,True,False,False,True,False,False,False,False,False,False,False",118.23333333333333,Other
2200,2025-02-15 14:41:20,"[2025-02-15 14:41:20] # Install nodemon and dependencies,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2199,2025-02-15 14:41:20,"[2025-02-15 14:41:20] cd /Users/abhissrivasta/AmsyPycharm/interactive-book/backend,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2198,2025-02-15 14:41:20,"[2025-02-15 14:41:20] # In a new terminal,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2207,2025-02-15 14:41:20,"[2025-02-15 14:41:20] # In a new terminal,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2208,2025-02-15 14:41:20,"[2025-02-15 14:41:20] cd /Users/abhissrivasta/AmsyPycharm/interactive-book/backend,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2209,2025-02-15 14:41:20,"[2025-02-15 14:41:20] # Install nodemon and dependencies,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2210,2025-02-15 14:41:20,"[2025-02-15 14:41:20] npm install nodemon express mongoose cors,True,False,False,True,False,False,False,False,False,False,False",0.0,Other
2211,2025-02-15 14:41:21,"[2025-02-15 14:41:21] # Start backend,True,False,False,False,False,False,False,False,False,False,False",0.016666666666666666,Other
2202,2025-02-15 14:41:21,"[2025-02-15 14:41:21] # Start backend,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2203,2025-02-15 14:48:29,"[2025-02-15 14:48:29] cd ../frontend/,True,False,False,False,False,False,False,False,False,False,False",7.133333333333334,Other
2212,2025-02-15 14:48:29,"[2025-02-15 14:48:29] cd ../frontend/,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2134,2025-02-15 15:24:06,"[2025-02-15 15:24:06] cat > src/stories/index.js << 'EOF',True,False,False,False,False,False,False,False,False,False,False",35.61666666666667,Other
2133,2025-02-15 15:24:06,"[2025-02-15 15:24:06] # 3. Update stories/index.js to use proper imports,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2116,2025-02-15 15:24:06,"[2025-02-15 15:24:06] cat > src/App.jsx << 'EOF',True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2115,2025-02-15 15:24:06,"[2025-02-15 15:24:06] # 2. Let's modify App.jsx to use both test data and story data,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2146,2025-02-15 15:24:15,"[2025-02-15 15:24:15] DEBUG=vite:* npm run dev,True,False,False,False,False,False,False,False,False,False,False",0.15,Other
2150,2025-02-15 15:25:17,"[2025-02-15 15:25:17] cat src/stories/acts/act-1.json,True,False,False,False,False,False,False,False,False,False,False",1.0333333333333334,Other
2149,2025-02-15 15:25:17,"[2025-02-15 15:25:17] # 2. Let's verify the content:,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2148,2025-02-15 15:25:17,"[2025-02-15 15:25:17] realpath src/stories/acts/act-1.json,True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2147,2025-02-15 15:25:17,"""[2025-02-15 15:25:17] # 1. First, show me the EXACT path to a JSON file:"",True,False,False,False,False,False,False,False,False,False,False",0.0,Other
2152,2025-02-15 15:25:17,"[2025-02-15 15:25:17] cat > src/App.jsx << 'EOF',True,False,False,False,False,False,False,False,False,False,False",0.0,Other
